character,dialogue
YODA,"I do, yes, I do!  Sick have I become. Old and weak.  When nine hundred years old you reach, look as good you will not. Hmm?"
LANDO,Han! Chewie?
LUKE,Stay tight and low.
LANDO,"We're on our way. Red Group, Gold Group, all fighters follow me.  Told you they'd do it!"
HAN,"I do, I really do. You could be a little nicer, though.  Come on, admit it. Sometimes you think I'm all right."
HAN,Wonderful girl!  Either I'm going to kill her or I'm beginning to like her.  Get in there!
YODA,No! Try not. Do. Or do not. There is no try.
LUKE,Ask me again sometime.
LANDO,Leia! Go!
BEN,"Oh, he's not dead, no... not yet."
HAN,Stay back.
LEIA,"And then you're as good as gone, aren't you?"
THREEPIO,"Oh, uh, yes, uh, I am here, Your Worshipfulness. Uh... yes!"
YODA,No more training do you require. Already know you that which you need.
LEIA,If your people fixed the hyperdrive.
HAN,"Yeah, that's what I thought. Mynock. Chewie, check the rest of  the ship, make sure there aren't any more attached. They're chewing on the power cables."
THREEPIO,"... as I said they wouldn't. Wha-wha-what's happening! Oh! Oh, dear! Oh!"
LUKE,Uncle Owen...
THREEPIO,"Sir, the possibility of successfully navigating an asteroid  field is approximately three thousand, seven hundred and twenty to one."
LUKE,Yeah.
LUKE,They're coming in too fast!
LUKE,"Hey, steady girl. What's the matter? You smell something?"
LANDO,"Look, someone's up there."
LUKE,Help!
YODA,"Soon will I rest. Yes, forever sleep. Earned it, I have."
LUKE,Artoo! Get her ready for takeoff.
YODA,"Run! Yes. A Jedi's strength flows from the Force. But beware of  the dark side. Anger...fear...aggression. The dark side of the Force are they. Easily they flow, quick to join you in a fight. If once you start down the dark path, forever will it dominate your destiny, consume you it will, as it did Obi-Wan's apprentice."
LUKE,You're wrong. Soon I'll be dead...and you with me.
THREEPIO,Help!  I think I'm melting!This is all your fault.
HAN,"Bespin. It's pretty far, but I think we can make it."
THREEPIO,He agrees!
LUKE,You will take me to Jabba now!
LEIA,"Help me, Obi-Wan Kenobi.  You're my only hope.  Help me, Obi-Wan Kenobi.  You're my only hope."
LUKE,"Ben, why didn't you tell me?"
HAN,Move! Move!
LUKE,I'm looking for someone.
LUKE,The princess?  She's here?
HAN,"Wait. I can't see, pal. What's goin' on?"
LANDO,Han will have that shield down. We've got to give him more time.
LUKE,He's going to pull us all apart.
THREEPIO,"Wa-wait! Wait, come back! Artoo, stay with me."
YODA,Your weapons...you will not need them.
LEIA,"No, you're not. You're..."
LANDO,"All right, Wedge. Go for the power regulator on the north tower."
LEIA,I am not a committee!
THREEPIO,"We found the computer outlet, sir."
LEIA,"Artoo, where are you? We need you at the bunker right away."
LANDO,What are you doing here?
HAN,No! That's not it. Come on. Aahhh -- uh huh! Come on.
HAN,I don't know where he is.
LANDO,Well done. Hold them in the security tower -- and keep it  quiet. Move.
LEIA,I...
LEIA,It could be worse...
VADER,No. I am your father.
THREEPIO,They did it!
LUKE,"Wedge, I've lost my gunner. You'll have to make  this shot. I'll cover for you. Set your harpoon. Follow me on the next pass."
THREEPIO,Artoo-Detoo!  It's you!  It's you!
HAN,That's one.
LUKE,"See-Threepio, do you copy?"
HAN,"Guess I owe you some thanks, too, Lando."
LEIA,Shut up!
HAN,The Anoat system.
HAN,Not if I can help it.  Chewie... jam it's transmissions.
HAN,I can't see.
VADER,Good. It would be unfortunate if I had to leave a garrison  here.
THREEPIO,"Artoo, I have a bad feeling about this."
HAN,Sshh!
LANDO,You said they'd be left in the city under my supervision.
LEIA,"Oh, what a mess. Chewie, do you think you can repair him?"
THREEPIO,"Oh, oh, oh, oh! Thank goodness."
LANDO,We're on our way.
BEN,"Learn about the Force, Luke."
HAN,"General, I've got to leave. I can't stay anymore."
HAN,We?
LANDO,Shut up and listen! Vader has agreed to turn Leia and Chewie  over to me.
HAN,Stop what?
LEIA,It's not bad.
LUKE,"Chewie, wa-wait!  Don't!"
THREEPIO,"Oh, switch off."
YODA,"Oh, you will be. You will be."
YODA,Mmm... rest I need. Yes... rest.
THREEPIO,"Artoo, I'm not sure that's such a good idea. It's a very long dro-o-op!!"
HAN,Whew...
VADER,Impressive...most impressive.
LUKE,"No, Threepio's with them."
HAN,"Hurry up, goldenrod, or you're going to be a permanent resident!"
HAN,You all right?
LANDO,All right! A little higher! Just a little higher!
LUKE,I must speak with Jabba.
LANDO,I'm surprised they didn't ask you to do it.
THREEPIO,There doesn't seem to be anyone there. Let's go back and tell Master Luke.
BEN,Yoda will always be with you.
LUKE,I wish I'd known him.
LANDO,"Well, he's on his way."
THREEPIO,"Over here!  Help!  Please, help!"
HAN,I think we're in trouble.
HAN,Yahoo!
VADER,I'll take them myself!  Cover me!
THREEPIO,"Oh, my! Die Wanna Wauaga. We -- we bring a message to your master, Jabba the Hutt."
HAN,I feel terrible.
LEIA,"He means ""You're welcome."""
YODA,"No...no...no. Quicker, easier, more seductive."
HAN,"They'd be crazy to follow us, wouldn't they?"
THREEPIO,There'll be no escape for the Princess this time.
LUKE,I care!
THREEPIO,"Listen to them!  They're dying, Artoo!  Curse my metal body!  I wasn't fast enough.  It's all my fault!  My poor master!"
THREEPIO,Where are you going?
THREEPIO,He says the scouts are going to show us the quickest way to the shield generator.
LEIA,"But, why must you confront him?"
THREEPIO,"But Master Luke, what magic? couldn't possibly --"
LUKE,Come with me.
LUKE,"You know, I did feel something.  I could almost see the remote."
THREEPIO,Wait! Wait for me! Wait! Stop!
LUKE,Coming in point three five.
LUKE,around forever trying to find them.
HAN,"Laugh it up, fuzz ball. But you didn't see us alone in the south  passage."
THREEPIO,"No, I don't like you either."
LUKE,You can't do any more good back there!
BEN,"I suggest you try it again, Luke."
VADER,You may take Captain Solo to Jabba the Hut after I  have Skywalker.
LEIA,"Luke! Luke, don't -- it's a trap! It's a trap!"
LUKE,"Well, forget the heavy equipment. There's plenty of time to get  the smaller modules on the transports."
THREEPIO,"Oh, you're perfectly welcome, sir."
VADER,"Apology accepted, Captain Needa."
HAN,"That's right, yeah!  I got some old debts I've got to pay off with this stuff.  Even if I didn't, you don't think I'd be fool enough to stick around here, do you?  Why don't you come with us?  You're pretty good in a fight.  I could use you."
THREEPIO,I'm going to regret this.
LUKE,"You know, between his howling and your blasting everything in sight, it's a wonder the whole station doesn't know we're here."
LUKE,"I understand.  Artoo, fire up the  converters."
HAN,No reward is worth this.
LUKE,What's this?
HAN,Didn't we just leave this party?
THREEPIO,He says he's found the main control to the power beam that's holding the ship here.  He'll try to make the precise location appear on the monitor.
HAN,"But who's going to fly it, kid!  You?"
LEIA,Now we find out if that code is worth the price we paid.
HAN,"You know, even I get boarded sometimes, Jabba.  I had no choice, but I've gota charter now and I can pay you back, plus a little extra.  I just need some more time."
THREEPIO,"Oh, Artoo, hurry!"
HAN,There. That looks pretty good.
HAN,Look out!  He's loose!
LUKE,Why would Imperial troops want to slaughter Jawas?
VADER,Obi-Wan is here.  The Force is with him.
LUKE,But what if this Obi-Wan comes looking for him?
THREEPIO,"Yes, Artoo. I was just coming to that."
LUKE,"Yoda! I am ready. I...Ben! I can be a Jedi. Ben, tell him I'm  ready."
HAN,Yeah. That'll do nicely.
THREEPIO,"Sir, I am fluent in six million forms of communication. This  signal is not used by the Alliance. It could be an Imperial code."
LUKE,He'll be all right.
LEIA,Luke!  Luke!  Luke!
LEIA,Why are you still here?
LUKE,"Nevertheless, I'm taking Captain Solo and his friends. You can either profit by this... or be destroyed! It's your choice. But I warn you not to underestimate my powers."
BEN,"Remember, a Jedi can feel the Force flowing through him."
HAN,"This may smell bad, kid..."
HAN,"Hey, wait! Ahhh!"
HAN,I'm going out there.
THREEPIO,Good morning.
LEIA,Send all troops in sector twelve to the south  slope to protect the fighters.
BEN,Your eyes can deceive you.  Don't trust them.
LEIA,"Let go, please."
LUKE,Is there more to this recording?
LEIA,I'm trying!
HAN,It's a good bet the Empire knows we're here.
YODA,Your father he is.
